index,totalseconds,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13_Row1,Q13_Row2,Q13_Row3,Q13_Row4,Q13_Row5,Q13_Row6,Q13_Row7,Q13_Row8,Q13_Row9,Q13_Row10,Q13_Row11,Q13_Row12,Q13_Row13,Q13_Row14,Q13_Row15,Q13_Row16,Q13_Row17,Q13_Row18,Q13_Row19,Q13_Row20,Q13_Row21,Q13_Row22,Q13_Row23,Q13_Row24,Q13_Row25,Q13_Row26,Q13_Row27,Q13_Row28,Q13_Row29,totalvalue,最后一个基本个案
125,255,2,-3,-3,-3,-3,-3,1,3,2,1,1,1,4,3,4,3,4,4,4,5,3,3,4,4,4,3,3,5,5,4,4,5,4,3,3,3,4,3,4,4,3,107,0
127,265,2,-3,-3,-3,-3,-3,1,3,1,3,1,1,2,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,2,4,4,4,4,3,107,0
14,123,2,-3,-3,-3,-3,-3,2,3,1,2,1,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,5,3,3,5,4,107,0
108,162,2,-3,-3,-3,-3,-3,1,2,2,5,1,1,3,4,3,3,4,4,4,4,3,4,3,3,4,4,3,4,4,4,3,4,4,4,2,2,4,4,4,5,4,107,0
124,208,2,-3,-3,-3,-3,-3,2,4,1,2,1,1,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,2,2,4,3,3,4,4,108,0
69,196,2,-3,-3,-3,-3,-3,1,3,2,4,1,1,4,4,3,2,4,4,3,4,4,3,4,4,4,4,3,3,4,4,3,4,4,2,2,1,2,4,3,5,5,108,0
58,155,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,4,4,4,2,4,3,2,3,4,2,5,5,4,5,2,4,4,5,3,5,5,3,2,2,3,5,4,4,3,109,0
67,224,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,4,5,3,4,4,3,3,3,4,4,5,4,5,3,4,4,4,3,4,4,3,3,1,4,3,4,5,3,109,0
266,125,1,1,2,1,2,2,-3,-3,-3,-3,-3,-3,4,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,3,4,4,4,2,2,4,4,4,4,4,109,0
225,146,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,109,0
32,175,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,4,4,4,4,4,4,4,4,3,3,3,4,4,2,4,4,4,3,4,4,4,2,2,3,4,4,4,4,109,0
300,205,1,1,2,1,1,2,-3,-3,-3,-3,-3,-3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,3,4,4,4,2,2,3,3,4,4,4,109,0
74,236,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,4,4,2,2,3,4,4,4,4,109,0
61,202,2,-3,-3,-3,-3,-3,1,3,1,3,1,1,3,3,4,4,4,4,3,4,5,3,4,4,4,5,2,2,4,4,2,4,4,4,3,1,4,4,5,5,5,109,0
205,100,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,110,0
